"<img src=""Front"">"	Thai	Phonetic	Translation	Grammar	Vocabulary	Audio	Module
"<img src=""Love Destiny_S02E21_Episode 21.th.closedcaptions_00h45m40s320ms-00h45m44s120ms.avif"">"	ข้าคงต้องสั่งให้คนมาขุดลัดคลองให้ตัดตรง	kâa kong dtɔ̂ng sàng hâi kon maa kùt lát klɔɔng hâi dtàt dtrong	I must order people to dig a shortcut canal to be straight	สั่งให้...ขุด...ให้: Order to dig to achieve straightness. Causative + purpose	สั่ง (sàng): order; ขุด (kùt): dig; ลัดคลอง (lát klɔɔng): canal shortcut; ตัดตรง (dtàt dtrong): cut straight	[sound:Love Destiny_S02E21_Episode 21.th.closedcaptions_00h45m40s320ms-00h45m44s120ms.ogg]	1.2
"<img src=""Answer for Heaven_S01E07_Lost Part 2.th.closedcaptions_00h04m35s525ms-00h04m39s725ms.avif"">"	ดิฉันได้รับคำสั่งจากผอ.ให้มาสังเกตการณ์ แล้วก็ให้คำแนะนำ	dì-chǎn dâai ráp kam-sàng jàak pɔ̌ɔ-ɔ̌ɔ hâi maa sǎng-gèet-gaan lɛ́ɛo gɔ̂ɔ hâi kam-nɛ́-nam	I received orders from the director to observe and give advice	รับคำสั่ง...ให้...ให้: Receive order TO do AND TO give. Double purpose	คำสั่ง (kam-sàng): order; สังเกตการณ์ (sǎng-gèet-gaan): observe; คำแนะนำ (kam-nɛ́-nam): advice	[sound:Answer for Heaven_S01E07_Lost Part 2.th.closedcaptions_00h04m35s525ms-00h04m39s725ms.ogg]	1.2
"<img src=""Answer for Heaven_S01E13_Complication Part 2.th.closedcaptions_00h01m40s165ms-00h01m43s325ms.avif"">"	แต่คุณอยากให้ผมเป็นเครื่องมือช่วยแก้ข่าวให้คุณ	dtɛ̀ɛ kun yàak hâi pǒm bpen krʉ̂ang-mʉʉ chûai gɛ̂ɛ kàao hâi kun	But you want me to be a tool to help fix news for you	อยากให้...แก้...ให้: Want someone TO BE tool TO fix FOR you. Triple function	เครื่องมือ (krʉ̂ang-mʉʉ): tool; แก้ข่าว (gɛ̂ɛ kàao): fix/correct news	[sound:Answer for Heaven_S01E13_Complication Part 2.th.closedcaptions_00h01m40s165ms-00h01m43s325ms.ogg]	1.2
"<img src=""Answer for Heaven_S01E10_Refusal.th.closedcaptions_00h06m08s885ms-00h06m13s485ms.avif"">"	เดี๋ยวฉันให้คุณโรมช่วยเอาคอมเมนต์ รวมแล้วก็ส่งให้ท่านประธาน	dǐao chǎn hâi kun room chûai ao kɔm-mén ruam lɛ́ɛo gɔ̂ɔ sòng hâi tâan bprà-taan	I'll have Rom help get comments, compile and send to the president	ให้...ช่วย...ส่งให้: Have someone help then send FOR. Causative + benefactive	คอมเมนต์ (kɔm-mén): comments; รวม (ruam): compile; ประธาน (bprà-taan): president	[sound:Answer for Heaven_S01E10_Refusal.th.closedcaptions_00h06m08s885ms-00h06m13s485ms.ogg]	1.2
"<img src=""The Bride of Naga_S01E06_Episode 6.th.closedcaptions_00h13m00s800ms-00h13m05s480ms.avif"">"	ถ้าพี่อยากรู้ว่าพญานาคมีจริงไหม ให้พี่เข้าไปเจอคุณอนันตชัยให้ได้คืนนี้	tâa pîi yàak rúu wâa pá-yaa-nâak mii jing mǎi hâi pîi kâo bpai jəə kun à-nan-chai hâi dâai kʉʉn níi	If you want to know if nagas exist, you must meet Mr. Anantachai tonight	ให้...เจอ...ให้ได้: Directive TO meet WITH certainty. Instruction + emphasis	พญานาค (pá-yaa-nâak): naga king; เจอ (jəə): meet; คืนนี้ (kʉʉn níi): tonight	[sound:The Bride of Naga_S01E06_Episode 6.th.closedcaptions_00h13m00s800ms-00h13m05s480ms.ogg]	1.2
"<img src=""Answer for Heaven_S01E07_Lost Part 2.th.closedcaptions_00h07m13s405ms-00h07m17s005ms.avif"">"	ผมว่าถ้าจะให้เขาคิดเลิกฆ่าตัวตาย ต้องทำให้ธุรกิจเขากลับมา	pǒm wâa tâa jà hâi kǎo kít lə̂ək kâa-dtua-dtaai dtɔ̂ng tam hâi tú-rá-gìt kǎo glàp maa	I think if we want him to stop thinking of suicide, we must make his business return	จะให้...ต้องทำให้: To make X happen, must cause Y. Conditional double causative	เลิก (lə̂ək): quit; ฆ่าตัวตาย (kâa-dtua-dtaai): suicide; ธุรกิจ (tú-rá-gìt): business	[sound:Answer for Heaven_S01E07_Lost Part 2.th.closedcaptions_00h07m13s405ms-00h07m17s005ms.ogg]	1.2
"<img src=""The Bride of Naga_S01E10_Episode 10.th.closedcaptions_00h44m51s000ms-00h44m54s360ms.avif"">"	มึงเก่งจริงกับการที่ทำให้ตัวเองเป็นพระเอก แล้วทำให้กูเป็นผู้ร้าย	mʉng gèng jing gàp gaan tîi tam hâi dtua-eeng bpen prá-èek lɛ́ɛo tam hâi guu bpen pûu-ráai	You're good at making yourself the hero and making me the villain	ทำให้...เป็น...ทำให้...เป็น: Make self BE X AND make other BE Y. Parallel causatives	พระเอก (prá-èek): hero/protagonist; ผู้ร้าย (pûu-ráai): villain	[sound:The Bride of Naga_S01E10_Episode 10.th.closedcaptions_00h44m51s000ms-00h44m54s360ms.ogg]	1.2
"<img src=""Answer for Heaven_S01E18_Hope Part 2.th.closedcaptions_00h19m37s725ms-00h19m41s125ms.avif"">"	อารมณ์ความรู้สึกของมนุษย์สามารถผลักดันให้มนุษย์ทำความดีมากขึ้น	aa-rom kwaam-rúu-sʉ̀k kɔ̌ɔng má-nút sǎa-mâat plàk-dan hâi má-nút tam kwaam-dii mâak kʉ̂n	Human emotions can push humans to do more good deeds	ผลักดันให้...ทำ: Push/motivate TO DO. Abstract causative	อารมณ์ (aa-rom): emotion; ผลักดัน (plàk-dan): push/motivate; ความดี (kwaam-dii): goodness	[sound:Answer for Heaven_S01E18_Hope Part 2.th.closedcaptions_00h19m37s725ms-00h19m41s125ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E02_Episode 2.th.closedcaptions_00h56m09s525ms-00h56m14s085ms.avif"">"	เราให้เชฟผู้ปรุงของอีกฝ่ายลองชิมอาหารของตัวเอง	rao hâi chéep pûu-bprung kɔ̌ɔng ìik fàai lɔɔng chim aa-hǎan kɔ̌ɔng dtua-eeng	We have each side's chef taste their own food	ให้...ชิม...ของตัวเอง: Have chef taste OWN food. Causative + reflexive	ผู้ปรุง (pûu-bprung): chef; ชิม (chim): taste; ของตัวเอง (kɔ̌ɔng dtua-eeng): one's own	[sound:Oh My Ghost_S01E02_Episode 2.th.closedcaptions_00h56m09s525ms-00h56m14s085ms.ogg]	1.2
"<img src=""The Bride of Naga_S01E15_Episode 15.th.closedcaptions_00h44m25s600ms-00h44m29s520ms.avif"">"	ที่ผมต้องให้คุณพุ่มข้าวบิณฑ์กับสิทธามารับรู้เรื่องราวในอดีตของเอเชีย	tîi pǒm dtɔ̂ng hâi kun pûm-kâao-bin gàp sìt-taa maa ráp-rúu rʉ̂ang-raao nai à-dìit kɔ̌ɔng ee-chiia	I had to have Poomkowbin and Sittha come learn about Asia's past	ต้องให้...มารับรู้: Must have them COME TO KNOW. Necessity + directional purpose	รับรู้ (ráp-rúu): acknowledge/learn; อดีต (à-dìit): past	[sound:The Bride of Naga_S01E15_Episode 15.th.closedcaptions_00h44m25s600ms-00h44m29s520ms.ogg]	1.2
"<img src=""6ixtynin9 The Series_S01E02_Episode 2.th.closedcaptions_00h07m41s720ms-00h07m46s480ms.avif"">"	ถ้าสิ่งที่ม็อบพวกนี้ทำมันไปสร้างความเดือดร้อนให้บ้านเมือง	tâa sìng tîi mɔ́p pûak níi tam man bpai sâang kwaam-dʉ̀at-rɔ́ɔn hâi bâan-mʉang	If what these mobs do creates trouble for the country	สร้าง...ให้: Create/cause FOR. Action causing effect on recipient	ม็อบ (mɔ́p): mob; เดือดร้อน (dʉ̀at-rɔ́ɔn): trouble; บ้านเมือง (bâan-mʉang): country	[sound:6ixtynin9 The Series_S01E02_Episode 2.th.closedcaptions_00h07m41s720ms-00h07m46s480ms.ogg]	1.2
"<img src=""The Bride of Naga_S01E12_Episode 12.th.closedcaptions_00h30m49s320ms-00h30m53s440ms.avif"">"	คาร์โก้โทรมาบอกว่าให้ไปรับของได้แล้ว	kaa-gôo too maa bɔ̀ɔk wâa hâi bpai ráp kɔ̌ɔng dâai lɛ́ɛo	Cargo called to say we can go pick up items now	บอกว่าให้...ได้แล้ว: Inform that can/should now. Permission + timing	คาร์โก้ (kaa-gôo): cargo; รับของ (ráp kɔ̌ɔng): pick up items	[sound:The Bride of Naga_S01E12_Episode 12.th.closedcaptions_00h30m49s320ms-00h30m53s440ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E05_Episode 5.th.closedcaptions_01h04m14s965ms-01h04m17s405ms.avif"">"	ฉันมีเรื่องต้องให้เธอช่วยนะ	chǎn mii rʉ̂ang dtɔ̂ng hâi təə chûai ná	I have something I need you to help with	มีเรื่องต้องให้...ช่วย: Have matter needing help. Necessity + request	เรื่อง (rʉ̂ang): matter/issue	[sound:Oh My Ghost_S01E05_Episode 5.th.closedcaptions_01h04m14s965ms-01h04m17s405ms.ogg]	1.2
"<img src=""Sing Again_S01E02_Episode 2.th.closedcaptions_00h21m35s440ms-00h21m40s360ms.avif"">"	จะให้ผู้เข้าแข่งขันแบ่งทีมกันทำโชว์เพื่อเอาชนะใจกรรมการ	jà hâi pûu kâo kɛ̀ng-kǎn bɛ̀ng tiim gan tam choo pʉ̂a ao-chá-ná jai gam-má-gaan	Will have contestants divide into teams to do shows to win judges' hearts	จะให้...ทำ...เพื่อ: Will have DO in order TO. Future causative + purpose	แข่งขัน (kɛ̀ng-kǎn): compete; เอาชนะ (ao-chá-ná): defeat/win; กรรมการ (gam-má-gaan): judge	[sound:Sing Again_S01E02_Episode 2.th.closedcaptions_00h21m35s440ms-00h21m40s360ms.ogg]	1.2
"<img src=""To the Moon and Back_S01E01_Episode 1.th.closedcaptions_00h15m49s160ms-00h15m52s880ms.avif"">"	ผมจะตัดเนื้องอกออก แล้วจะพยายามไม่ให้ลิ้นหัวใจไมตรัลเสียหาย	pǒm jà dtàt nʉ́a-ngɔ̂ɔk ɔ̀ɔk lɛ́ɛo jà pá-yaa-yaam mâi hâi lín hǔa-jai mai-tran sǐia-hǎai	I'll remove the tumor and try not to let the mitral valve be damaged	พยายามไม่ให้...เสียหาย: Try not to let BE damaged. Preventive effort	เนื้องอก (nʉ́a-ngɔ̂ɔk): tumor; ลิ้นหัวใจ (lín hǔa-jai): heart valve; เสียหาย (sǐia-hǎai): damage	[sound:To the Moon and Back_S01E01_Episode 1.th.closedcaptions_00h15m49s160ms-00h15m52s880ms.ogg]	1.2
"<img src=""Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h24m49s765ms-00h24m54s325ms.avif"">"	เลือกว่าคุณจะยอมพูดความจริงในศาล แล้วรับโทษข้อหาให้การเท็จ	lʉ̂ak wâa kun jà yɔɔm pûut kwaam-jing nai sǎan lɛ́ɛo ráp tôot kɔ̂ɔ-hǎa hâi gaan tét	Choose whether you'll tell truth in court and accept charges for false testimony	ข้อหาให้การเท็จ: Charge FOR giving false testimony. Legal ให้	ยอม (yɔɔm): agree; ศาล (sǎan): court; ให้การเท็จ (hâi gaan tét): false testimony	[sound:Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h24m49s765ms-00h24m54s325ms.ogg]	1.2
"<img src=""6ixtynin9 The Series_S01E02_Episode 2.th.closedcaptions_00h36m04s480ms-00h36m09s440ms.avif"">"	เดี๋ยวลองเปิดให้ลูกค้าดูอีกรอบแบบที่ไม่มีเสียงโฆษก	dǐao lɔɔng bpə̀ət hâi lûuk-káa duu ìik rɔ̂ɔp bɛ̀ɛp tîi mâi mii sǐiang kôot-sòk	Let's try showing it to clients again without narrator	เปิดให้...ดู: Open/show FOR viewing. Presentational benefactive	ลูกค้า (lûuk-káa): client; โฆษก (kôot-sòk): narrator/announcer	[sound:6ixtynin9 The Series_S01E02_Episode 2.th.closedcaptions_00h36m04s480ms-00h36m09s440ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E07_Episode 7.th.closedcaptions_00h44m22s285ms-00h44m25s245ms.avif"">"	แม่ทำตัวให้มันเป็นอาจารย์หน่อย ให้มันสมกับเป็นอาจารย์	mɛ̂ɛ tam dtua hâi man bpen aa-jaan nɔ̀i hâi man sǒm gàp bpen aa-jaan	Mom, act like a teacher, to be worthy of being a teacher	ทำตัวให้เป็น...ให้สม: Act TO BE X TO BE worthy. Double standard setting	ทำตัว (tam dtua): behave; สม (sǒm): worthy/fitting; อาจารย์ (aa-jaan): teacher	[sound:Oh My Ghost_S01E07_Episode 7.th.closedcaptions_00h44m22s285ms-00h44m25s245ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h38m59s205ms-00h39m03s285ms.avif"">"	ถ้าทำเสร็จก็เก็บกวาดให้เรียบร้อย แล้วเตรียมของสำหรับมื้อค่ำ	tâa tam sèt gɔ̂ɔ gèp-gwàat hâi rîap-rɔ́ɔi lɛ́ɛo dtriiam kɔ̌ɔng sǎm-ràp mʉ́ʉ kâm	When done, clean up neatly then prepare for dinner	V + ให้ + state + แล้ว + V: Complete one action properly THEN next	เตรียม (dtriiam): prepare; มื้อค่ำ (mʉ́ʉ kâm): dinner	[sound:Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h38m59s205ms-00h39m03s285ms.ogg]	1.2
"<img src=""To the Moon and Back_S01E04_Episode 4.th.closedcaptions_00h51m57s800ms-00h52m01s280ms.avif"">"	ให้คิตตี้พานังแฝดสองคนนี่ขึ้นมา	hâi kít-dtìi paa nang-fɛ̀ɛt sɔ̌ɔng kon nîi kʉ̂n maa	Have Kitty bring the twins up here	ขึ้นมา: Up toward speaker. Movement up AND toward. Compound directional	พา (paa): take/bring; แฝด (fɛ̀ɛt): twins	[sound:To the Moon and Back_S01E04_Episode 4.th.closedcaptions_00h51m57s800ms-00h52m01s280ms.ogg]	1.3
"<img src=""Sing Again_S01E15_Episode 15.th.closedcaptions_00h29m21s240ms-00h29m25s160ms.avif"">"	อาบน้ำ ล้างหน้า แปรงฟัน ลงไปกินข้าวกับแม่	àap-náam láang-nâa bprɛɛng-fan long bpai gin kâao gàp mɛ̂ɛ	Shower, wash face, brush teeth, go down to eat with mom	ลงไป: Down away from speaker. Movement down AND away. Compound directional	อาบน้ำ (àap-náam): shower; แปรงฟัน (bprɛɛng-fan): brush teeth	[sound:Sing Again_S01E15_Episode 15.th.closedcaptions_00h29m21s240ms-00h29m25s160ms.ogg]	1.3
"<img src=""Answer for Heaven_S01E07_Lost Part 2.th.closedcaptions_00h18m17s325ms-00h18m21s485ms.avif"">"	ถ้านันกลับมาอยู่กับพี่ พี่จะลงไป	tâa nan glàp maa yùu gàp pîi pîi jà long bpai	If Nun comes back to me, I'll go down	กลับมา vs ลงไป: Return here vs go down there. Directional contrast	กลับมา (glàp maa): come back; ลงไป (long bpai): go down	[sound:Answer for Heaven_S01E07_Lost Part 2.th.closedcaptions_00h18m17s325ms-00h18m21s485ms.ogg]	1.3
"<img src=""The Bride of Naga_S01E08_Episode 8.th.closedcaptions_00h33m35s640ms-00h33m38s280ms.avif"">"	พาขึ้นข้างบนเลย ไปเข้าไปเลย	paa kʉ̂n kâang-bon ləəi bpai kâo bpai ləəi	Take them upstairs, go in now	ขึ้น vs เข้าไป: Up vs enter-away. Multiple directionals in sequence	ข้างบน (kâang-bon): upstairs; เข้าไป (kâo bpai): go in/enter	[sound:The Bride of Naga_S01E08_Episode 8.th.closedcaptions_00h33m35s640ms-00h33m38s280ms.ogg]	1.3
"<img src=""Analog Squad_S01E01_There's no turning back.th.closedcaptions_00h25m49s583ms-00h25m53s291ms.avif"">"	หนูเล่นเป็นหน่วยคอมมานโดที่บุกเข้าไปกู้ระเบิด	nǔu lên bpen nùai kɔm-maan-doo tîi bùk kâo bpai gûu rá-bə̀ət	I played a commando who stormed in to defuse bombs	บุกเข้าไป: Storm/invade inward. Forceful entry with direction	บุก (bùk): invade/storm; กู้ระเบิด (gûu rá-bə̀ət): defuse bomb	[sound:Analog Squad_S01E01_There's no turning back.th.closedcaptions_00h25m49s583ms-00h25m53s291ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E09_Episode 9.th.closedcaptions_01h04m05s085ms-01h04m08s765ms.avif"">"	ไม่ต้องบ่น ดื่มเข้าไปอีก	mâi dtɔ̂ng bòn dʉ̀ʉm kâo bpai ìik	Don't complain, drink more in	ดื่มเข้าไป: Drink inward. Consumption as inward movement	บ่น (bòn): complain; ดื่ม (dʉ̀ʉm): drink	[sound:Oh My Ghost_S01E09_Episode 9.th.closedcaptions_01h04m05s085ms-01h04m08s765ms.ogg]	1.3
"<img src=""DELETE_S01E06_DELETE_ PAIN.th.closedcaptions_00h09m23s875ms-00h09m27s708ms.avif"">"	บรรณาธิการสื่อออนไลน์ชื่อดังหลุดออกมาว่อนเน็ต	ban-naa-tí-gaan sʉ̀ʉ ɔɔn-laai chʉ̂ʉ-dang lùt ɔ̀ɔk maa wɔ̂n net	Famous online editor's photo leaked out onto the internet	หลุดออกมา: Leak/slip out toward. Unintentional exit toward speaker	หลุด (lùt): leak/slip; ว่อน (wɔ̂n): spread widely; บรรณาธิการ (ban-naa-tí-gaan): editor	[sound:DELETE_S01E06_DELETE_ PAIN.th.closedcaptions_00h09m23s875ms-00h09m27s708ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h02m11s445ms-00h02m15s205ms.avif"">"	เดินออกมาเลย แล้วเชฟเขาจะว่ายังไง	dəən ɔ̀ɔk maa ləəi lɛ́ɛo chéep kǎo jà wâa yang-ngai	Just walk out, what would the chef say?	เดินออกมา: Walk out toward. Exit with movement toward speaker	เดิน (dəən): walk; ว่า (wâa): say/criticize	[sound:Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h02m11s445ms-00h02m15s205ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E08_Episode 8.th.closedcaptions_00h50m09s005ms-00h50m12s805ms.avif"">"	ลูกเกดอยู่ไหน ออกมาได้แล้ว	lûuk-gèet yùu nǎi ɔ̀ɔk maa dâai lɛ́ɛo	Where's Lukkade? You can come out now	ออกมา + ได้แล้ว: Come out + permission. Exit toward with readiness	ลูกเกด (lûuk-gèet): Lukkade (name)	[sound:Oh My Ghost_S01E08_Episode 8.th.closedcaptions_00h50m09s005ms-00h50m12s805ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E02_Episode 2.th.closedcaptions_00h59m11s885ms-00h59m15s685ms.avif"">"	แล้วไอ้เมนูคาราเมลอะไรนั่นมันคิดออกมาได้ยังไง	lɛ́ɛo âi mee-nuu kaa-raa-men à-rai nân man kít ɔ̀ɔk maa dâai yang-ngai	How did I come up with that caramel menu?	คิดออกมา: Think out/devise. Mental process as outward movement	คิดออก (kít ɔ̀ɔk): devise/figure out; คาราเมล (kaa-raa-men): caramel	[sound:Oh My Ghost_S01E02_Episode 2.th.closedcaptions_00h59m11s885ms-00h59m15s685ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E13_Episode 13.th.closedcaptions_00h30m22s045ms-00h30m24s885ms.avif"">"	เมนูพิเศษวันนี้คือเซอร์ลอยน์ เอาออกมาเตรียมไว้เลย	mee-nuu pí-sèet wan-níi kʉʉ sə̂ə-lɔin ao ɔ̀ɔk maa dtriiam wái ləəi	Today's special is sirloin, take it out to prepare	เอาออกมา: Take out toward. Removal with direction toward speaker	เซอร์ลอยน์ (sə̂ə-lɔin): sirloin; เตรียม (dtriiam): prepare	[sound:Oh My Ghost_S01E13_Episode 13.th.closedcaptions_00h30m22s045ms-00h30m24s885ms.ogg]	1.3
"<img src=""Hormones_S02E09_Episode 9.th.closedcaptions_00h05m37s840ms-00h05m40s520ms.avif"">"	เมื่อไหร่จะออกมาจากห้องน้ำ	mʉ̂a-rài jà ɔ̀ɔk maa jàak hɔ̂ng-náam	When will (she) come out of the bathroom?	ออกมาจาก: Come out from. Exit from specific location toward speaker	ห้องน้ำ (hɔ̂ng-náam): bathroom; เมื่อไหร่ (mʉ̂a-rài): when	[sound:Hormones_S02E09_Episode 9.th.closedcaptions_00h05m37s840ms-00h05m40s520ms.ogg]	1.3
"<img src=""To the Moon and Back_S01E17_Episode 17.th.closedcaptions_01h03m59s960ms-01h04m03s440ms.avif"">"	งานนี้ ออกมาทักทายแขก	ngaan níi ɔ̀ɔk maa ták-taai kɛ̀ɛk	For this event, come out to greet guests	ออกมา + purpose: Come out TO greet. Exit with social purpose	ทักทาย (ták-taai): greet; แขก (kɛ̀ɛk): guest	[sound:To the Moon and Back_S01E17_Episode 17.th.closedcaptions_01h03m59s960ms-01h04m03s440ms.ogg]	1.3
"<img src=""Answer for Heaven_S01E01_Love Sick Part 1.th.closedcaptions_00h03m40s805ms-00h03m44s365ms.avif"">"	ระหว่างให้ผมมาสายแล้วสกู๊ปออกมาดีที่สุด พี่เลือกอะไร	rá-wàang hâi pǒm maa sǎai lɛ́ɛo sà-gúup ɔ̀ɔk maa dii tîi-sùt pîi lʉ̂ak à-rai	Between coming late with the best scoop coming out, what do you choose?	มาสาย vs ออกมา: Come late vs come out. Multiple directional contexts	มาสาย (maa sǎai): come late; สกู๊ป (sà-gúup): scoop/news story	[sound:Answer for Heaven_S01E01_Love Sick Part 1.th.closedcaptions_00h03m40s805ms-00h03m44s365ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h48m52s725ms-00h48m55s885ms.avif"">"	เก็บไว้กับตัวเองจนต้องระเบิดออกมา	gèp wái gàp dtua-eeng jon dtɔ̂ng rá-bə̀ət ɔ̀ɔk maa	Keep to oneself until it must explode out	ระเบิดออกมา: Explode outward. Emotional release as outward movement	เก็บไว้ (gèp wái): keep/store; ระเบิด (rá-bə̀ət): explode	[sound:Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h48m52s725ms-00h48m55s885ms.ogg]	1.3
"<img src=""I Need Romance_S01E01_Episode 1.th.closedcaptions_00h08m07s920ms-00h08m11s120ms.avif"">"	ตอนเด็กหน้านายเหมือนเต้าหู้ โตขึ้นมาก็คงเหมือนเต้าหู้ยี้	dtɔɔn dèk nâa naai mʉ̌an dtâo-hûu dtoo kʉ̂n maa gɔ̂ɔ kong mʉ̌an dtâo-hûu-yîi	As a kid you looked like tofu, growing up you must look like fermented tofu	โตขึ้นมา: Grow up toward present. Temporal movement upward	โต (dtoo): grow; เต้าหู้ (dtâo-hûu): tofu; เต้าหู้ยี้ (dtâo-hûu-yîi): fermented tofu	[sound:I Need Romance_S01E01_Episode 1.th.closedcaptions_00h08m07s920ms-00h08m11s120ms.ogg]	1.3
"<img src=""The Underclass_S01E11_Set Zero.th.subtitles_00h18m47s800ms-00h18m52s760ms.avif"">"	เราก็ใช้ความสามารถในการขึ้นมาอยู่ห้องเอ	rao gɔ̂ɔ chái kwaam-sǎa-mâat nai gaan kʉ̂n maa yùu hɔ̂ng ee	We used our abilities to come up to be in Class A	ขึ้นมาอยู่: Come up to be in. Achievement as upward movement	ความสามารถ (kwaam-sǎa-mâat): ability; ห้องเอ (hɔ̂ng ee): Class A	[sound:The Underclass_S01E11_Set Zero.th.subtitles_00h18m47s800ms-00h18m52s760ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E06_Episode 6.th.closedcaptions_00h23m58s565ms-00h24m03s805ms.avif"">"	ฉันเป็นคนช่วยเชฟชิมทุกเมนูที่เขาคิดขึ้นมา	chǎn bpen kon chûai chéep chim túk mee-nuu tîi kǎo kít kʉ̂n maa	I helped chef taste every menu he came up with	คิดขึ้นมา: Think/create upward. Creation as upward emergence	ชิม (chim): taste; ทุกเมนู (túk mee-nuu): every menu	[sound:Oh My Ghost_S01E06_Episode 6.th.closedcaptions_00h23m58s565ms-00h24m03s805ms.ogg]	1.3
"<img src=""I Need Romance_S01E09_Episode 9.th.closedcaptions_00h37m28s320ms-00h37m32s120ms.avif"">"	ถ้าอยากได้ รีบหยิบโทรศัพท์ขึ้นมาโท	tâa yàak dâai rîip yìp too-rá-sàp kʉ̂n maa too	If you want it, quickly pick up the phone	หยิบขึ้นมา: Pick up toward. Lifting motion toward speaker	หยิบ (yìp): pick up; โทรศัพท์ (too-rá-sàp): telephone	[sound:I Need Romance_S01E09_Episode 9.th.closedcaptions_00h37m28s320ms-00h37m32s120ms.ogg]	1.3
"<img src=""Miss Culinary_S01E10_Episode 10.th.subtitles_00h05m40s880ms-00h05m43s320ms.avif"">"	ไหนลองถือผักขึ้นมาได้ไหม	nǎi lɔɔng tʉ̌ʉ pàk kʉ̂n maa dâai mǎi	Can you try holding the vegetables up?	ถือขึ้นมา: Hold up toward. Request to lift toward speaker	ถือ (tʉ̌ʉ): hold; ผัก (pàk): vegetables	[sound:Miss Culinary_S01E10_Episode 10.th.subtitles_00h05m40s880ms-00h05m43s320ms.ogg]	1.3
"<img src=""To the Moon and Back_S01E20_Episode 20.th.closedcaptions_00h44m09s480ms-00h44m13s080ms.avif"">"	ถึงลูกเราจะบ๊อง ก็คงไม่กระโดดลงไปเรือเฉยๆ หรอก	tʉ̌ng lûuk rao jà bɔ́ng gɔ̂ɔ kong mâi grà-dòot long bpai rʉa chə̌əi-chə̌əi rɔ̀ɔk	Even if our daughter is silly, she wouldn't just jump down onto a boat	กระโดดลงไป: Jump down away. Downward movement away from speaker	กระโดด (grà-dòot): jump; บ๊อง (bɔ́ng): silly; เรือ (rʉa): boat	[sound:To the Moon and Back_S01E20_Episode 20.th.closedcaptions_00h44m09s480ms-00h44m13s080ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E01_Episode 1.th.closedcaptions_00h49m08s925ms-00h49m12s045ms.avif"">"	ทุกอย่างที่เราใส่ลงไปในอาหาร	túk yàang tîi rao sài long bpai nai aa-hǎan	Everything we put down into food	ใส่ลงไป: Put down into. Insertion with downward direction	ใส่ (sài): put in; อาหาร (aa-hǎan): food	[sound:Oh My Ghost_S01E01_Episode 1.th.closedcaptions_00h49m08s925ms-00h49m12s045ms.ogg]	1.3
"<img src=""The Bride of Naga_S01E08_Episode 8.th.closedcaptions_00h35m17s680ms-00h35m20s680ms.avif"">"	เด็กคลุ้มคลั่งแล้วก็จำไม่ได้ว่าตัวเองทำอะไรลงไป	dèk klúm-klâng lɛ́ɛo gɔ̂ɔ jam mâi dâai wâa dtua-eeng tam à-rai long bpai	The kids went crazy and can't remember what they did	ทำอะไรลงไป: Did what down there. Past action with downward direction	คลุ้มคลั่ง (klúm-klâng): go crazy/berserk; จำ (jam): remember	[sound:The Bride of Naga_S01E08_Episode 8.th.closedcaptions_00h35m17s680ms-00h35m20s680ms.ogg]	1.3
"<img src=""Girl from Nowhere_S01E04_Hi-So.th.closedcaptions_00h02m10s919ms-00h02m13s440ms.avif"">"	งั้นเดี๋ยวครูพาหนูลงไปดูห้องเรียนดีกว่า	ngán dǐao kruu paa nǔu long bpai duu hɔ̂ng-riian dii-gwàa	Then teacher will take you down to see the classroom	พาลงไป: Take down away. Guiding movement downward	พา (paa): take/guide; ห้องเรียน (hɔ̂ng-riian): classroom	[sound:Girl from Nowhere_S01E04_Hi-So.th.closedcaptions_00h02m10s919ms-00h02m13s440ms.ogg]	1.3
